Repository Name,Creator,Url,Stars,Forks,Date of Creation,Time of Creation,Languages
django,django,https://github.com/django/django,56.9k,24.3k,2021-04-19,18:13:43,"Python,HTML,JavaScript,CSS,Shell,Smarty"
django-rest-framework,encode,https://github.com/encode/django-rest-framework,20.8k,5.6k,2021-04-16,16:59:27,"Python,HTML,CSS,JavaScript"
DjangoBlog,liangliangyy,https://github.com/liangliangyy/DjangoBlog,3.7k,1.8k,2021-04-17,10:49:41,"Python,HTML,Other"
django-cms,django-cms,https://github.com/django-cms/django-cms,8.1k,2.6k,2021-04-15,09:42:47,"Python,JavaScript,HTML,SCSS"
django-storages,jschneier,https://github.com/jschneier/django-storages,1.9k,697,2021-04-20,04:02:08,Python
django2.0-course,HaddyYang,https://github.com/HaddyYang/django2.0-course,908,447,2021-01-12,06:40:05,"Python,HTML,CSS"
social-app-django,python-social-auth,https://github.com/python-social-auth/social-app-django,1.5k,278,2021-03-02,02:17:41,"Python,Shell,Dockerfile,Other"
graphene-django,graphql-python,https://github.com/graphql-python/graphene-django,3.5k,597,2021-04-11,03:30:15,"Python,JavaScript,Other"
pipelines-python-django,MicrosoftDocs,https://github.com/MicrosoftDocs/pipelines-python-django,29,767,2018-12-05,15:24:20,"Python,Dockerfile"
django-bootstrap3,zostera,https://github.com/zostera/django-bootstrap3,2.2k,691,2021-04-16,05:43:11,"Python,HTML,Makefile"
